# Nasdaq 100 (as of April 2026). Yahoo symbol style. One ticker per line.
# Refresh by copying from https://en.wikipedia.org/wiki/Nasdaq-100
AAPL
MSFT
NVDA
AMZN
GOOGL
GOOG
META
TSLA
AVGO
COST
NFLX
PEP
ADBE
CSCO
TMUS
AMD
LIN
TXN
INTU
QCOM
CMCSA
AMAT
HON
AMGN
ISRG
BKNG
PANW
ADP
VRTX
GILD
REGN
MU
LRCX
KLAC
SNPS
CDNS
MDLZ
ADI
MELI
ASML
PYPL
ABNB
CTAS
CRWD
ORLY
MAR
CSX
NXPI
CEG
WDAY
ROP
PCAR
FTNT
MRVL
PAYX
ODFL
ADSK
MNST
DXCM
CHTR
AEP
LULU
KDP
EXC
KHC
FANG
CPRT
AZN
IDXX
ROST
BKR
GEHC
MCHP
CTSH
EA
TTWO
DDOG
ZS
XEL
VRSK
CDW
BIIB
ANSS
ON
GFS
FAST
CSGP
WBD
SIRI
WBA
EBAY
TEAM
ILMN
TTD
SPLK
MRNA
MDB
ALGN
ZM
PDD
