# S&P 500 tickers (starter subset - top ~100 by market cap).
# Replace with the full 500 when you want the whole index. One per line.
# Use Yahoo's symbol style (BRK-B not BRK.B).
AAPL
MSFT
NVDA
GOOGL
GOOG
AMZN
META
BRK-B
TSLA
AVGO
LLY
JPM
V
WMT
XOM
UNH
MA
JNJ
PG
COST
HD
ORCL
BAC
ABBV
MRK
CVX
KO
NFLX
AMD
PEP
ADBE
CRM
TMO
CSCO
ACN
LIN
MCD
ABT
WFC
DHR
TXN
DIS
QCOM
NOW
INTU
IBM
CAT
GE
VZ
AMGN
AXP
MS
PFE
PM
NKE
NEE
ISRG
RTX
SPGI
UNP
UBER
GS
LOW
BLK
T
HON
BKNG
ELV
SYK
TJX
PLD
C
AMAT
LMT
MDT
DE
BSX
GILD
ADP
ADI
VRTX
SCHW
CB
TMUS
MDLZ
MMC
REGN
CI
BMY
PANW
LRCX
KLAC
SNPS
CDNS
ETN
SHW
DUK
ZTS
BA
ICE
SO
AON
APH
ITW
EQIX
HCA
MU
PYPL
CME
FDX
GM
F
COF
USB
NSC
CSX
PGR
WELL
EMR
MMM
INTC
